video_id,video_title,question_id,question,answer,difficulty
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q001,ماذا ورد في النص حول هذه الجزئيه؟,والساموزين والسامو عليكم!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q021,ماذا ورد في النص حول هذه الجزئيه؟,معناها الذي يخدم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q022,ما الجمله المذكوره في هذا الموضع؟,عشان يقدروا يلموا الضرايب من الفلاحين،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q023,كيف صيغت العباره في النص؟,ما حدش في الدنيا بيحب يدفع ضرايب،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q024,ما الذي قيل في هذا السياق؟,نخليهم يدفعوا بالعافيه!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q025,ما النص الحرفي المذكور هنا؟,الفلوس كترت، والاطماع زادت،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q026,ماذا ورد في النص حول هذه الجزئيه؟,بداوا يتحولوا الي حراس شخصيين للاقطاعيين،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q027,ما الجمله المذكوره في هذا الموضع؟,الـDaimy، اللي اتكلمت عنهم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q028,كيف صيغت العباره في النص؟,وحفظ النظام وفرض هيبه الدوله،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q029,ما الذي قيل في هذا السياق؟,كانوا هما القانون والجلاد.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q030,ما النص الحرفي المذكور هنا؟,بداوا يمتلكوا اراضي وثروات،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q031,ماذا ورد في النص حول هذه الجزئيه؟,والنبلاء والطبقه الارستقراطيه,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q032,ما الجمله المذكوره في هذا الموضع؟,الساموراي دول مجرد خدم.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q033,كيف صيغت العباره في النص؟,ويغير هذه النظره،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q034,ما الذي قيل في هذا السياق؟,قبل ما يتعلم المشي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q035,ما النص الحرفي المذكور هنا؟,في حمايه السيد والقتال باسمه.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q036,ماذا ورد في النص حول هذه الجزئيه؟,بين العائلات الاقطاعيه الكبيره في اليابان،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q037,ما الجمله المذكوره في هذا الموضع؟,ان ليها الحق في السيطره علي اليابان،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q038,كيف صيغت العباره في النص؟,ميناموتو نو يوريتومو،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q039,ما الذي قيل في هذا السياق؟,انه ينتصر علي كل منافسينه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q040,ما النص الحرفي المذكور هنا؟,كحاكم فعلي للبلاد،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q041,ماذا ورد في النص حول هذه الجزئيه؟,في تاريخ اليابان،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q042,ما الجمله المذكوره في هذا الموضع؟,كرمز ديني مقدس،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q043,كيف صيغت العباره في النص؟,بقت في ايد الـشوجن والساموراي بتوعه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q044,ما الذي قيل في هذا السياق؟,اي حد من الطبقات الادني،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q045,ما النص الحرفي المذكور هنا؟,اليابان بتتفاجئ بهجوم المغول عليها،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q046,ماذا ورد في النص حول هذه الجزئيه؟,ياخدوا قلم كدا، فيصحوا ويفوقوا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q047,ما الجمله المذكوره في هذا الموضع؟,بين القوه بتاعتهم وبين قوه المغول،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q048,كيف صيغت العباره في النص؟,كانوا لسه عايشين في جو الفرسان بتاعهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q049,ما الذي قيل في هذا السياق؟,ويقوم طالب مبارزه فرديه شريفه.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q050,ما النص الحرفي المذكور هنا؟,ان هما لما جم يواجهوا جيش المغول،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q051,ماذا ورد في النص حول هذه الجزئيه؟,بترعب خيول الساموراي.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q052,ما الجمله المذكوره في هذا الموضع؟,بيعكس مسار الاحداث،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q053,كيف صيغت العباره في النص؟,تدمر جيوش المغول،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q054,ما الذي قيل في هذا السياق؟,العاصفه حمايه من الالهه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q055,ما النص الحرفي المذكور هنا؟,مستفيدين من درس مهم اوي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q056,ماذا ورد في النص حول هذه الجزئيه؟,والـgroup presentation،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q057,ما الجمله المذكوره في هذا الموضع؟,لمقاتلي الساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q058,كيف صيغت العباره في النص؟,يحبسوهم في البحر عند السور دا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q059,ما الذي قيل في هذا السياق؟,مره تانيه، الطبيعه بتتدخل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q060,ما النص الحرفي المذكور هنا؟,عملوا تحول مهم جدا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q061,ماذا ورد في النص حول هذه الجزئيه؟,عن هويه محاربين عظام,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q062,ما الجمله المذكوره في هذا الموضع؟,بالسيف الطويل المقوس اللي بيلمع،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q063,كيف صيغت العباره في النص؟,لم يكن السلاح رقم 1 في المعارك الحقيقيه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q064,ما الذي قيل في هذا السياق؟,والسلاح الرئيسي كان القوس والسهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q065,ما النص الحرفي المذكور هنا؟,عشان يبقوا حريفه ضرب بالسهم.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q066,ماذا ورد في النص حول هذه الجزئيه؟,بقي بييجي الرمح كسلاح اساسي في الاشتباك،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q067,ما الجمله المذكوره في هذا الموضع؟,كان اخر سلاح بيلجاله الساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q068,كيف صيغت العباره في النص؟,لما بقي الاسهم تخلص,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q069,ما الذي قيل في هذا السياق؟,ساعتها، استخدم السيف.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q070,ما النص الحرفي المذكور هنا؟,ان السيف كان له مكانه مقدسه عندهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q071,ماذا ورد في النص حول هذه الجزئيه؟,بيبقي اسمه سيف الـكاتانا،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q072,ما الجمله المذكوره في هذا الموضع؟,ان هما محتاجين يطوروا سيوفهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q073,كيف صيغت العباره في النص؟,سيف قوي متين يقدر يسد مع الاعداء،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q074,ما الذي قيل في هذا السياق؟,في الاماكن الضيقه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q075,ما النص الحرفي المذكور هنا؟,عشان يقطع بيه راس عدوه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q076,ماذا ورد في النص حول هذه الجزئيه؟,توسعله الطريق وهي باصه في الارض.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q077,ما الجمله المذكوره في هذا الموضع؟,مصممه عشان تعكس قوته،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q078,كيف صيغت العباره في النص؟,متزينه باشكال مرعبه وشعارات،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q079,ما الذي قيل في هذا السياق؟,كانه شيطان طالع من جهنم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q080,ما النص الحرفي المذكور هنا؟,لكن هذا الوجه الكرتوني هو اللي خلاص!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q081,ماذا ورد في النص حول هذه الجزئيه؟,مربوطه بخيوط حرير،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q082,ما الجمله المذكوره في هذا الموضع؟,عشان المحارب يبقي بيتحرك براحته، free،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q083,كيف صيغت العباره في النص؟,اللي كانت منتشره في الثقافات التانيه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q084,ما الذي قيل في هذا السياق؟,علي حساب المرونه والسرعه.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q085,ما النص الحرفي المذكور هنا؟,هتلاقي انه كان له دور في منظومه القتال،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q086,ماذا ورد في النص حول هذه الجزئيه؟,الجزء القداماني في الراس،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q087,ما الجمله المذكوره في هذا الموضع؟,هما القوه العسكريه اللي هددت اليابان،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q088,كيف صيغت العباره في النص؟,كان بدايه نهايه الحكم المركزي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q089,ما الذي قيل في هذا السياق؟,شويه غنايم، شويه اراضي، رزق،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q090,ما النص الحرفي المذكور هنا؟,ما كانش عندهم حاجه يدوهالهم،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q091,ماذا ورد في النص حول هذه الجزئيه؟,ودخلت اليابان في حاله من الانقلابات،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q092,ما الجمله المذكوره في هذا الموضع؟,من الصراعات الاهليه وعدم الاستقرار.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q093,كيف صيغت العباره في النص؟,لحد ما بنوصل لاخر القرن الـ15،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q094,ما الذي قيل في هذا السياق؟,او عصر الممالك المتحاربه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q095,ما النص الحرفي المذكور هنا؟,كانت دمويه ووحشيه جدا،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q096,ماذا ورد في النص حول هذه الجزئيه؟,ظهرت شخصيات اسطوريه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q097,ما الجمله المذكوره في هذا الموضع؟,ما هو الحقيقي وما هو الخيال الشعبي.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q098,كيف صيغت العباره في النص؟,فقد عينه اليمين وهو طفل،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q099,ما الذي قيل في هذا السياق؟,لا، دي زودته اصرار،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q100,ما النص الحرفي المذكور هنا؟,لما تلاقي حد عنده خوذه عليها هلال ضخم.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q101,ماذا ورد في النص حول هذه الجزئيه؟,سابق عصره ومنفتح علي العالم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q102,ما الجمله المذكوره في هذا الموضع؟,علي نفسها تماما،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q103,كيف صيغت العباره في النص؟,واسبانيا والمكسيك،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q104,ما الذي قيل في هذا السياق؟,من وهو طفل عنده 13 سنه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q105,ما النص الحرفي المذكور هنا؟,خاض اكتر من 60 مبارزه حياه او موت،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q106,ماذا ورد في النص حول هذه الجزئيه؟,اسلوب القتال بالسيفين في نفس الوقت،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q107,ما الجمله المذكوره في هذا الموضع؟,لسه بيتقري لحد النهارده,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q108,كيف صيغت العباره في النص؟,واتخاذ القرارات.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q109,ما الذي قيل في هذا السياق؟,كان عند الرجاله بس،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q110,ما النص الحرفي المذكور هنا؟,اسمها الـناجيناتا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q111,ماذا ورد في النص حول هذه الجزئيه؟,يوقعوا الفرسان من علي الخيل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q112,ما الجمله المذكوره في هذا الموضع؟,واحده اسمها توموي جوزين،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q113,كيف صيغت العباره في النص؟,انها جميله كالقمر، وقويه كالف رجل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q114,ما الذي قيل في هذا السياق؟,كانت سفاحه!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q115,ما النص الحرفي المذكور هنا؟,ان الساموراي ما بيحبوش الاسلحه الناريه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q116,ماذا ورد في النص حول هذه الجزئيه؟,الاسلحه الناريه سلاح الجبناء،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q117,ما الجمله المذكوره في هذا الموضع؟,دا لم يكن صحيح،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q118,كيف صيغت العباره في النص؟,لما التجار البرتغاليين وصلوا اليابان،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q119,ما الذي قيل في هذا السياق؟,قدروا بسرعه ان هما يقلدوها،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q120,ما النص الحرفي المذكور هنا؟,مش بس استخدموا البنادق دي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q121,ماذا ورد في النص حول هذه الجزئيه؟,سيل رصاص مستمر علي العدو.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q122,ما الجمله المذكوره في هذا الموضع؟,ان الساموراي كان مرحب باي سلاح موجود،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q123,كيف صيغت العباره في النص؟,معركه ناجاشينو، سنه 1575،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q124,ما الذي قيل في هذا السياق؟,جيش تاكيدا، اللي كان مكون من 15 الف فارس.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q125,ما النص الحرفي المذكور هنا؟,ويقولولك اليابانيين كانوا رافضين الفكره!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q126,ماذا ورد في النص حول هذه الجزئيه؟,في كتابه Giving Up the Gun,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q127,ما الجمله المذكوره في هذا الموضع؟,اكتر من اي دوله اوروبيه.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q128,كيف صيغت العباره في النص؟,عملوا مدافع يدويه كبيره اسمها الـاوزوتو،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q129,ما الذي قيل في هذا السياق؟,كان اه محارب شجاع،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q130,ما النص الحرفي المذكور هنا؟,انك تهزم العدو وتنتصر لسيدك،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q131,ماذا ورد في النص حول هذه الجزئيه؟,او بطلقه رصاص.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q132,ما الجمله المذكوره في هذا الموضع؟,كان عندهم حاجات زي الساموراي كدا،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q133,كيف صيغت العباره في النص؟,هو الـكود الاخلاقي، الشرف.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q134,ما الذي قيل في هذا السياق؟,عن اتنين من اشهر قاده الساموراي،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q135,ما النص الحرفي المذكور هنا؟,انا حاسس ان انا قاعد قدام كونان!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q136,ماذا ورد في النص حول هذه الجزئيه؟,ايه البراعه في اليابانيه دي بجد؟!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q137,ما الجمله المذكوره في هذا الموضع؟,خد يا ابو حميد لقب الـشوجونيه حالا!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q138,كيف صيغت العباره في النص؟,حصل فيها نقص حاد في الملح،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q139,ما الذي قيل في هذا السياق؟,كان سلعه استراتيجيه لحفظ الاكل،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q140,ما النص الحرفي المذكور هنا؟,رفض انه يستغل الموقف لصالحه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q141,ماذا ورد في النص حول هذه الجزئيه؟,اللي بتميز الساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q142,ما الجمله المذكوره في هذا الموضع؟,من منظومه اخلاقيه لا غني عنها،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q143,كيف صيغت العباره في النص؟,لقطاع طرق او بلطجيه!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q144,ما الذي قيل في هذا السياق؟,لم يكن مجرد قواعد او قانون عسكري،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q145,ما النص الحرفي المذكور هنا؟,استفاد من معظم الفلسفات الشرقيه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q146,ماذا ورد في النص حول هذه الجزئيه؟,الولاء للارض والامبراطور.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q147,ما الجمله المذكوره في هذا الموضع؟,زي الشجاعه والشرف والنبل والولاء،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q148,كيف صيغت العباره في النص؟,بس يكون جزار في المعركه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q149,ما الذي قيل في هذا السياق؟,علي فنون تانيه خالص غير الحرب،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q150,ما النص الحرفي المذكور هنا؟,ان السيف والريشه وجهين لعمله واحده،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q151,ماذا ورد في النص حول هذه الجزئيه؟,مش بس طبقه عسكريه،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q152,ما الجمله المذكوره في هذا الموضع؟,اداريا وثقافيا لقرون قدام.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q153,كيف صيغت العباره في النص؟,كان زهره الكرز،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q154,ما الذي قيل في هذا السياق؟,وبعد كدا، بتقع وتموت وهي في عز جمالها.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q155,ما النص الحرفي المذكور هنا؟,علي اد ايه الشرف مهم بالنسبه للساموراي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q156,ماذا ورد في النص حول هذه الجزئيه؟,او خذل سيده، او اتاسر،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q157,ما الجمله المذكوره في هذا الموضع؟,ويغسل عاره كان الانتحار.,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q158,كيف صيغت العباره في النص؟,عمليه بشعه ومؤلمه فوق الوصف،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q159,ما الذي قيل في هذا السياق؟,سيفه الصغير، الـواكيزاشي،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q160,ما النص الحرفي المذكور هنا؟,قاطع بطنه بالعرض لحد اليمين!,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q161,ماذا ورد في النص حول هذه الجزئيه؟,ان الروح والعواطف بتسكن في البطن، هنا،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q162,ما الجمله المذكوره في هذا الموضع؟,ينهي عذاب هذا المحارب.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q163,كيف صيغت العباره في النص؟,كانت قمه الشجاعه في نظرهم،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q164,ما الذي قيل في هذا السياق؟,من الساموراي، الـرونين.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q165,ما النص الحرفي المذكور هنا؟,كانت حياتهم وردي وعايشين في قصور،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q166,ماذا ورد في النص حول هذه الجزئيه؟,او السيد الاقطاعي مات او خسر ارضه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q167,ما الجمله المذكوره في هذا الموضع؟,فجاه، يا عزيزي، بيلاقوا نفسهم في الشارع،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q168,كيف صيغت العباره في النص؟,بالظبط زي موجه البحر.,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q169,ما الذي قيل في هذا السياق؟,ان انت لو بقيت رونين،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q170,ما النص الحرفي المذكور هنا؟,الـرونين دول كان عندهم كبرياء,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q171,ماذا ورد في النص حول هذه الجزئيه؟,دروعهم وسيوفهم، عشان ياكلوا،,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q172,ما الجمله المذكوره في هذا الموضع؟,الي قطاع طرق او مرتزقه،,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q173,كيف صيغت العباره في النص؟,وعندك اسلحه، استغلهم! اكسب بيهم!,Easy
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q174,ما الذي قيل في هذا السياق؟,اللي هتربطهم بالـSeppuku,Medium
3AwL93uolIA,الساموراي | الدحيح,3AwL93uolIA_Q175,ما النص الحرفي المذكور هنا؟,اللي حكيتلك عنهم في الاول.,Easy
