video_id,video_title,question_id,question,answer,difficulty
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q001,ماذا ورد في هذا الموضع من النص؟,"انا ""هنا""، في خدمه سموك.",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q033,كيف صيغت العباره هنا؟,ما كانوش هما اللي نهبوا القافله،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q034,ما الذي قيل في هذا الجزء؟,"لما كانت القافله في ارض ""تميم""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q035,ما النص الحرفي المذكور في هذه الفقره؟,اللي كان بيتفاخر بجده؟,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q036,ماذا ورد في هذا الموضع من النص؟,اللي افتدي نفسه من الاسر,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q037,ما الجمله المذكوره في هذا السياق؟,واللي فضلوا عايشين معاه من الاساوره.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q038,كيف صيغت العباره هنا؟,مصلحه زي الفل من هذه السرقه،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q039,ما الذي قيل في هذا الجزء؟,"فيها ""ار بي جيهات"" وطيارات F35، كل دا...",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q040,ما النص الحرفي المذكور في هذه الفقره؟,ومعاهم 300 جمل،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q041,ماذا ورد في هذا الموضع من النص؟,- غضب كسري، كسري قفش!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q042,ما الجمله المذكوره في هذا السياق؟,بعد ما افتدي نفسه ورجع لقبيلته،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q043,كيف صيغت العباره هنا؟,من الهجوم اللي حصل عليهم،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q044,ما الذي قيل في هذا الجزء؟,من علي وشك كسري، وساله سؤال واحد:,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q045,ما النص الحرفي المذكور في هذه الفقره؟,"اللي سرقتنا دي؟""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q046,ماذا ورد في هذا الموضع من النص؟,"وقام قايله: ""(تميم).""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q047,ما الجمله المذكوره في هذا السياق؟,"مع (تميم) دول؟""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q048,كيف صيغت العباره هنا؟,"جايه منك بحرب.""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q049,ما الذي قيل في هذا الجزء؟,"علي ايقاع بني ""تميم"".",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q050,ما النص الحرفي المذكور في هذه الفقره؟,اللي موجوده في شرق الجزيره,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q051,ماذا ورد في هذا الموضع من النص؟,نفوذ فيها قوي الفتره دي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q052,ما الجمله المذكوره في هذا السياق؟,"علي اسواق ""هجر"" و""البحرين"" و""الاحساء""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q053,كيف صيغت العباره هنا؟,وبعد كدا، ترجع لمكانها.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q054,ما الذي قيل في هذا الجزء؟,اللي جايه لـ(البحرين) و(الاحساء)،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q055,ما النص الحرفي المذكور في هذه الفقره؟,وبالتالي، نجوع بني (تميم)،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q056,ماذا ورد في هذا الموضع من النص؟,"باب ""الميره"" اللي كان مقفول،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q057,ما الجمله المذكوره في هذا السياق؟,"في بني ""تميم"" ويبشرهم:",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q058,كيف صيغت العباره هنا؟,ارسل لكم الـ(ميره) الجديده،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q059,ما الذي قيل في هذا الجزء؟,في امس الحاجه لهذه البضائع.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q060,ما النص الحرفي المذكور في هذه الفقره؟,الـ(ميره) هتتوزع مجانا علي بني (تميم)،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q061,ماذا ورد في هذا الموضع من النص؟,"موجود لحد دلوقتي في شرق ""السعوديه"".",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q062,ما الجمله المذكوره في هذا السياق؟,"الي حصن ""المشقر""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q063,كيف صيغت العباره هنا؟,بيسيب سلاحه علي الباب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q064,ما الذي قيل في هذا الجزء؟,الفار بدا يتلاعب في اعبائه،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q065,ما النص الحرفي المذكور في هذه الفقره؟,وضرب سلسله علي باب (المشقر)،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q066,ماذا ورد في هذا الموضع من النص؟,كانوا بيبادوا في مذبحه صامته!,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q067,ما الجمله المذكوره في هذا السياق؟,اللي دبر المذبحه مع كسري،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q068,كيف صيغت العباره هنا؟,ينقي 100 واحد بس يعفي عنهم،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q069,ما الذي قيل في هذا الجزء؟,"ما فاضلش غير (تميم) واخوه!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q070,ما النص الحرفي المذكور في هذه الفقره؟,"هما اللي فضلوا بس من رجاله ""تميم"".",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q071,ماذا ورد في هذا الموضع من النص؟,انا رجاله (تميم) صعبوا عليا اوي!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q072,ما الجمله المذكوره في هذا السياق؟,ونهبوكم واسروا رجالتكم وقتلوا فيكم،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q073,كيف صيغت العباره هنا؟,خلاص، ندبحهم؟!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q074,ما الذي قيل في هذا الجزء؟,علي اللي سرقوا القافله وخلاص،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q075,ما النص الحرفي المذكور في هذه الفقره؟,"يبيدوا القبيله بالكامل؟!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q076,ماذا ورد في هذا الموضع من النص؟,ممكن يكون واحد من الاحتكاكات القديمه,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q077,ما الجمله المذكوره في هذا السياق؟,من صراعات العرب والفرس،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q078,كيف صيغت العباره هنا؟,وكل هذه التراكمات تنفجر.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q079,ما الذي قيل في هذا الجزء؟,اقدم بكتير من القرن السادس الميلادي،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q080,ما النص الحرفي المذكور في هذه الفقره؟,كان بيغلب عليها صيغه واحده بس،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q081,ماذا ورد في هذا الموضع من النص؟,خاضعه لنظام حكم امبراطوري،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q082,ما الجمله المذكوره في هذا السياق؟,بيورثها للي بعده.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q083,كيف صيغت العباره هنا؟,تبص الناحيه التانيه، ناحيه العرب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q084,ما الذي قيل في هذا الجزء؟,في وسط وشمال الجزيره.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q085,ما النص الحرفي المذكور في هذه الفقره؟,كانت عباره عن غارات،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q086,ماذا ورد في هذا الموضع من النص؟,انها تصد الهجمات الحدوديه الخاطفه دي.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q087,ما الجمله المذكوره في هذا السياق؟,"ليه الفرس ما كانوش يروحوا يحتلوهم؟""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q088,كيف صيغت العباره هنا؟,الفرس كان صعب ان هما يطاردوا,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q089,ما الذي قيل في هذا الجزء؟,يعيش ويحارب في الصحرا غير اهلها،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q090,ما النص الحرفي المذكور في هذه الفقره؟,ممكن يحارب بدالي؟,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q091,ماذا ورد في هذا الموضع من النص؟,"يعملولي هذه التضحيات.""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q092,ما الجمله المذكوره في هذا السياق؟,ان هما يستخدموا العرب في محاربه العرب.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q093,كيف صيغت العباره هنا؟,"فاضل بس كسري يموتله 9 علماء نووين.""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q094,ما الذي قيل في هذا الجزء؟,"اسمها دوله ""المناذره"" في ""الحيره""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q095,ما النص الحرفي المذكور في هذه الفقره؟,في عالم الحروب بالـBuffer State،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q096,ماذا ورد في هذا الموضع من النص؟,"""اوكرانيا"" بالنسبه لـ""اوروبا""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q097,ما الجمله المذكوره في هذا السياق؟,بين قوتين كبار بينهم مشاكل،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q098,كيف صيغت العباره هنا؟,عايزه دوله كبيره تبقي علي حدودها.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q099,ما الذي قيل في هذا الجزء؟,"دوله ""شنكار""، بتمنع اصابات الركبه!",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q100,ما النص الحرفي المذكور في هذه الفقره؟,"مصطلح شائع، ""الدوله الوساده""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q101,ماذا ورد في هذا الموضع من النص؟,ما تحكش في صاج الدوله!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q102,ما الجمله المذكوره في هذا السياق؟,في النص التاني من القرن التالت،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q103,كيف صيغت العباره هنا؟,او الدوله العازله بشكل عبقري،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q104,ما الذي قيل في هذا الجزء؟,عن قوتين مهمين جدا في هذا الوقت،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q105,ما النص الحرفي المذكور في هذه الفقره؟,"اللي موجوده في ""الشام"" و""الاناضول""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q106,ماذا ورد في هذا الموضع من النص؟,اللي موجوده في شبه الجزيره،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q107,ما الجمله المذكوره في هذا السياق؟,في هذا الوقت حاطين ايديهم علي العرب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q108,كيف صيغت العباره هنا؟,هو اللي يعرف يخرج من الصحرا,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q109,ما الذي قيل في هذا الجزء؟,كان يبقي جاي من بيئته القاسيه،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q110,ما النص الحرفي المذكور في هذه الفقره؟,"ما تفهمش ""تسلا"" دا ولا معمول فين!",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q111,ماذا ورد في هذا الموضع من النص؟,والقصور كوم تاني خالص،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q112,ما الجمله المذكوره في هذا السياق؟,اعجوبه هذا العصر،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q113,كيف صيغت العباره هنا؟,كان حلم يشبه تهيؤات السكاري،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q114,ما الذي قيل في هذا الجزء؟,ودماغي سرحت مني وراحت مني،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q115,ما النص الحرفي المذكور في هذه الفقره؟,"ما حيلتيش غير البعير!""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q116,ماذا ورد في هذا الموضع من النص؟,"اللي بيحكم ""الحيره""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q117,ما الجمله المذكوره في هذا السياق؟,كملك عنده هيبه،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q118,كيف صيغت العباره هنا؟,عشان يروض العرب.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q119,ما الذي قيل في هذا الجزء؟,نجحوا في انهم يفرضوا كلمتهم,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q120,ما النص الحرفي المذكور في هذه الفقره؟,"بيفسرلك ليه كسري ""انو شروان""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q121,ماذا ورد في هذا الموضع من النص؟,علي اسيادهم من الفرس.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q122,ما الجمله المذكوره في هذا السياق؟,"اسمه ""سابور بن هرمز""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q123,كيف صيغت العباره هنا؟,الناس بتشوف ولي العهد فين،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q124,ما الذي قيل في هذا الجزء؟,"""ايه دا؟! دي حاجه ممتازه،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q125,ما النص الحرفي المذكور في هذه الفقره؟,"ليست في احسن اوضاعها.""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q126,ماذا ورد في هذا الموضع من النص؟,"لجنوب ""فارس"" ويزاحموا الفرس.",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q127,ما الجمله المذكوره في هذا السياق؟,"و(البحرين) و(كاظمه).""",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q128,كيف صيغت العباره هنا؟,ان هما هاجروا باعداد عظيمه،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q129,ما الذي قيل في هذا الجزء؟,حاجه تتاكل عندهم، الا وكلوها.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q130,ما النص الحرفي المذكور في هذه الفقره؟,وفيه حاجه عماله تحصل هناك،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q131,ماذا ورد في هذا الموضع من النص؟,اللي كانوا موجودين في اراضي الفرس.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q132,ما الجمله المذكوره في هذا السياق؟,في الساحل الشرقي للخليج،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q133,كيف صيغت العباره هنا؟,وبسبب تنكيله بالعرب،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q134,ما الذي قيل في هذا الجزء؟,"لقب (ذي الاكتاف).""",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q135,ما النص الحرفي المذكور في هذه الفقره؟,الناس تلمس اكتاف!,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q136,ماذا ورد في هذا الموضع من النص؟,بتخرم في اماكن اخري،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q137,ما الجمله المذكوره في هذا السياق؟,الفرس كانت امبراطوريه قويه متغطرسه،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q138,كيف صيغت العباره هنا؟,عايشين اليوم بيومه.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q139,ما الذي قيل في هذا الجزء؟,عشان يعني يديك Picture للموضوع عامل ازاي...,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q140,ما النص الحرفي المذكور في هذه الفقره؟,See First!,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q141,ماذا ورد في هذا الموضع من النص؟,حلفاء للفرس وتحت طاعتهم.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q142,ما الجمله المذكوره في هذا السياق؟,كسري مش اسم واحد، دا اسم الصنف،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q143,كيف صيغت العباره هنا؟,"بداوا يتربوا ويروحوا يتعلموا في ""الحيره""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q144,ما الذي قيل في هذا الجزء؟,"""المنتظم في تاريخ الملوك والامم""...",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q145,ما النص الحرفي المذكور في هذه الفقره؟,ما تشوفلنا مستقبل الواد دا عامل ازاي,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q146,ماذا ورد في هذا الموضع من النص؟,لازم يروح يتربي وسط العرب.,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q147,ما الجمله المذكوره في هذا السياق؟,وقام مديله الولد،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q148,كيف صيغت العباره هنا؟,"دوله المناذره في ""الحيره"" تابعه للفرس.",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q149,ما الذي قيل في هذا الجزء؟,"لحد ما بيوصل للحكم ""المنذر بن المنذر""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q150,ما النص الحرفي المذكور في هذه الفقره؟,"في قائمه ملوك ""الحيره""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q151,ماذا ورد في هذا الموضع من النص؟,"واحد من عيال ""المنذر"" الـ10،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q152,ما الجمله المذكوره في هذا السياق؟,المرشحين البارزين كانوا 2،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q153,كيف صيغت العباره هنا؟,اللي دخلوا الاعاده قصاد بعض،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q154,ما الذي قيل في هذا الجزء؟,"من مجموعه اسمها بني ""مرينا""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q155,ما النص الحرفي المذكور في هذه الفقره؟,هما اللي ربوه،,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q156,ماذا ورد في هذا الموضع من النص؟,"هو الاخ ""النعمان بن المنذر""،",Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q157,ما الجمله المذكوره في هذا السياق؟,"قدام ""الاسود"" و""النعمان"".",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q158,كيف صيغت العباره هنا؟,زي ما قلتلك،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q159,ما الذي قيل في هذا الجزء؟,"ان عندهم راجل اسمه ""عدي بن زيد""،",Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q160,ما النص الحرفي المذكور في هذه الفقره؟,انه كان محل ثقه كسري،,Medium
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q161,ماذا ورد في هذا الموضع من النص؟,براي الراجل دا وبيسمع منه.,Easy
DbuoaakWh7g,معركة ذي قار | الدحيح,DbuoaakWh7g_Q162,ما الجمله المذكوره في هذا السياق؟,"وحليفه ""النعمان بن المنذر""",Medium
